Date,DIS,GE,GILD,GOOGL,KMI,OIL,T,TSLA,WMT
2012-02-14,41.599998,18.211538,27.280001,305.185181,32.310001,32.310001,30.07,33.169998,62.220001
2012-02-15,41.25,18.038462,27.41,303.083069,32.150002,32.150002,29.870001,33.599998,61.759998
2012-02-16,41.540001,18.278847,27.405001,303.563568,32.330002,32.330002,30.02,34.18,62.040001
2012-02-17,41.75,18.538462,23.5,302.62262,32.23,32.23,30.01,34.970001,62.48
2012-02-21,41.57,18.663462,22.344999,307.307312,32.07,32.07,30.34,34.5,60.07
2012-02-22,41.27,18.64423,22.264999,304.274261,32.23,32.23,30.280001,34.220001,58.599998
2012-02-23,41.48,18.567308,22.575001,303.358368,32.32,32.32,30.459999,34.529999,58.540001
2012-02-24,41.310001,18.5,22.629999,305.255249,33.240002,33.240002,30.34,33.75,58.790001
2012-02-27,41.639999,18.336538,22.594999,304.959961,34.759998,34.759998,30.360001,33.619999,58.459999
2012-02-28,41.93,18.423077,23,309.504517,35.259998,35.259998,30.530001,33.810001,58.93
2012-02-29,41.990002,18.317308,22.77,309.434448,35.240002,35.240002,30.59,33.41,59.080002
2012-03-01,42.389999,18.384615,23.305,311.511505,35.919998,35.919998,30.629999,34.41,58.82
2012-03-02,42.360001,18.240385,23.495001,310.935944,36.290001,36.290001,30.870001,34.040001,59.009998
2012-03-05,42.700001,18.125,23.115,307.432434,36.23,36.23,30.99,33.77,59.400002
2012-03-06,42,17.711538,22.940001,302.782776,35.349998,35.349998,30.73,33.110001,58.970001
2012-03-07,41.75,18.048077,22.74,303.703705,36.299999,36.299999,30.879999,33.119999,59.860001
2012-03-08,42.02,18.298077,23.264999,303.873871,36.73,36.73,31,33.07,59.77
2012-03-09,42.240002,18.307692,23.045,300.425415,37.52,37.52,31.18,34.740002,60.080002
2012-03-12,42.34,18.39423,23.08,302.877869,36.740002,36.740002,31.440001,36.009998,60.68
2012-03-13,44.009998,18.836538,23.405001,309.199188,36.610001,36.610001,31.629999,36.09,61
2012-03-14,43.48,19.028847,23.33,308.303314,36.049999,36.049999,31.450001,35.290001,61.080002
2012-03-15,43.470001,19.384615,23.58,310.875885,36.25,36.25,31.639999,35,61.23
2012-03-16,43.189999,19.423077,23.365,312.832825,36.849998,36.849998,31.59,35.32,60.84
